S;136247031884160;0;NS;9.028716;5:2.43028:4.20103e+12:84.214:0.847882
S;136247031884160;0;SN;9.028716;17.7652:6.88266:4.50095:2.43028:5:184.029:147.791:-41.5416:-141.378:11.3361
S;395814383259248;1;SN;7.617232;15.1593:9.36027:6.89922:14.0794:6:196.378:1.91703:0.406438:1.78581:-0.566311
S;988550911996883;2;SN;6.205749;12.5533:11.8379:9.29749:11.9818:6:876.434:5.32089:2.10791:4.55912:1.75584
S;836122384223926;3;SN;5.610363;10.4732:10.0735:8.04359:9.93319:6:509.069:3.52202:1.81204:-2.78356:-1.17173
S;188712675155237;4;HENAKED;4.677548;17.2598:16.8852:0:1.68668:1.74484:4:40:20.1785:0
S;188712675155237;4;SN;4.969757;12.7559:12.7559:10.2537:12.2559:6:247.362:0:-0:0:0
S;162829762990264;5;HENAKED;4.065823;21.8836:21.3372:0:2.03606:2.10168:4:50:24.8814:0
S;162829762990264;5;SN;4.359660;15.4134:15.4134:12.7214:14.9134:6:433.466:0:-0:0:-0
S;246702035346992;6;HENAKED;3.666135;27.8194:27.1819:0:2.87343:2.3399:4:60:31.3308:0
S;246702035346992;6;SN;3.953091;19.053:19.053:16.1336:18.553:6:654.037:0:0:-0:0
S;491865785238629;7;HENAKED;3.216479;30.5512:29.563:0:2.64813:2.5256:4:80:32.4827:0
S;491865785238629;7;SN;3.520134;19.6001:19.6001:16.5723:19.1001:6:507.54:0:0:0:0
S;773436749948673;8;HENAKED;2.957154;32.8563:31.7532:0:2.84559:2.67514:4:100:35.0655:0
S;773436749948673;8;SN;3.252536;20.9692:20.9692:17.2575:20.4692:6:717.149:0:-0:0:-0
